Названия;Типы;Категории;Регионы, области;Населенные пункты;Адреса;Округа, районы;Филиалов;Индексы;Мобильные телефоны;Городские телефоны;Email-адреса;Сайты;Вконтакте;Одноклассники;WhatsApp;Viber;YouTube;Telegram;Twitter;Дата парсинга
#не_формат;студия красоты;"Красота / Парикмахерские 
Образование / Дополнительное образование / Обучение мастеров салонов красоты";Алтайский край;Барнаул;Улица Шумакова, 32;Барнаул городской округ, Индустриальный район;1;656058;79994002744;;;;;;https://wa.me/79994002744;;;;;04.01.2025 21:14:28
21 век;салон красоты;"Красота / Услуги косметолога 
Красота / Парикмахерские 
Красота / Перманентный макияж 
Красота / Услуги пирсинга 
Красота / Студии загара";Алтайский край;Барнаул;Молодёжная улица, 40;Барнаул городской округ, Железнодорожный район;2;656015;79132322251, 79237218903;73852623564;;;https://vk.com/id391492646;;;;;;;06.01.2025 08:43:42
21 век;салон красоты;Красота / Парикмахерские;Алтайский край;Барнаул;Улица Георгиева, 12;Барнаул городской округ, Индустриальный район;2;656057;79612386907;;;;;;;;;;;04.01.2025 21:17:13
360;студия красоты;"Красота / Студии маникюра и педикюра 
Красота / Парикмахерские 
Красота / Услуги визажиста 
Красота / Уход за бровями, ресницами";Алтайский край;Барнаул;Балтийская улица, 103;Барнаул городской округ, Индустриальный район;1;656070;;73852390360;;;;;https://wa.me/79530350360;;;;;08.01.2025 04:19:04
7-я;парикмахерская эконом-класса;"Красота / Парикмахерские 
Красота / Уход за бровями, ресницами";Алтайский край;Барнаул;Антона Петрова, 235;Барнаул городской округ, Индустриальный район;1;656065;79836092490;;;;;;;;;;;08.01.2025 16:02:55
757 pm studio;студия красоты;"Красота / Парикмахерские 
Красота / Услуги визажиста 
Красота / Перманентный макияж";Алтайский край;Барнаул;Павловский тракт, 299;Барнаул городской округ, Индустриальный район;1;656070;79647771400;;;;https://vk.com/toppm757;;https://wa.me/79647771400;;;https://t.me/pm_studio757;;05.01.2025 15:29:19
8;салон красоты;"Красота / Парикмахерские 
Красота / Уход за бровями, ресницами 
Красота / Услуги визажиста 
Образование / Дополнительное образование / Обучение мастеров салонов красоты";Алтайский край;Барнаул;Переулок Ядринцева, 95;Барнаул городской округ, Центральный район;1;656031;79039918898;;;;https://vk.com/salon_krasoty_8;;https://wa.me/79039918898;;;https://t.me/+79039918898;;07.01.2025 23:52:07
8А;студия красоты;"Красота / Студии маникюра и педикюра 
Красота / Парикмахерские";Алтайский край;Барнаул;Новосибирская улица, 8а;Барнаул городской округ, Индустриальный район;1;656922;79833540894;;;;;;https://wa.me/79833540894;;;;;07.01.2025 08:40:13
A.Dikonstydio;студия короткой стрижки;"Красота / Парикмахерские 
Образование / Дополнительное образование / Обучение мастеров салонов красоты";Алтайский край;Барнаул;Павловский тракт, 162;Барнаул городской округ, Индустриальный район;1;656065;79059245878;;;;https://vk.com/club227219334;;https://wa.me/79059245878;;;https://t.me/+79059245878;;04.01.2025 19:49:05
Abramova_Exchange;студия реконструкции волос;"Красота / Парикмахерские 
Образование / Дополнительное образование / Обучение мастеров салонов красоты";Алтайский край;Барнаул;Сиреневая, 23 к1;Барнаул городской округ, Индустриальный район;1;656067;79124241759;;;;https://vk.com/valeriya_abramovaa;;https://wa.me/79124241759;;;;;07.01.2025 02:37:54
